wav_filename,wav_filesize,transcript
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_28704519.wav,199,Spishi zote zinatokea Afrika tu.
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_28704530.wav,230,"Kwa sasa yeye anaishi katika mji mkuu wa Nairobi na Trier, Ujerumani."
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_28704537.wav,205,"Mmojawapo, maji yanafikia ziwa Tanganyika."
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_28704542.wav,211,Pia mara nyingi huingia ndani ya milango ya mito na mito yenyewe.
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_28704543.wav,249,Kiebrania kilikuwa lugha ya Israeli ya Kale wakati wa Biblia kuanza kuandikwa.
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_28704552.wav,225,Jimbo hili ni moja kati ya majimbo kumi na mawili katika kaunti ya Kakamega.
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_28704555.wav,196,Wakati mwingine inaweza kutokea bila kuleta madhara yoyote.
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_28704556.wav,249,"Kupatwa kwa Mwezi hutokea kila mwaka, angalau mara mbili hadi mara tano."
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_28704557.wav,180,Gregori wa Tours aliandika juu yake.
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_28704586.wav,167,Kuna kahawa nyingi pia mazao mengine.
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_28704588.wav,168,Aliwahi kucheza timu ya taifa ya Uswisi.
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_28704591.wav,232,Pia alipata udaktari wa teolojia na kuwa mkuu wa idara hiyo.
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_28704593.wav,245,Delta hii ni eneo lenye mimea na wanyama wengi katikati ya jangwa kubwa.
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_28704689.wav,237,"Kwa wengine, kama mileli-bahari, hutumika kwa kukamata mawindo tu."
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_28704691.wav,165,Lengo ni kuwapa elimu watoto maskini.
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_28704692.wav,171,Gavana wa jimbo ni John Harvard.
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_28704693.wav,234,Steroidi nazo ni za ugonjwa kinga mwili nafsi pamoja na shida za kupumua.
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_28704704.wav,211,Ni mji mashuhuri na ni muhimu kwani ni mji wa Kibiashara.
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29790864.wav,171,Marufuku pia ujenzi wa Chuo Kikuu Visiwani
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29790865.wav,190,Kwa hiyo pato la wananchi limeongezeka na kubadilika kwa maisha ya wakazi
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29790911.wav,176,Mkoa huu unapakana na nchi za Jamhuri ya Kidemokrasi ya Kongo
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29790913.wav,194,Ni kawaida kuyaona makundi makubwa ya Tembo ya kila majani katika mabwawa
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29790915.wav,199,Kikosi cha jeshi la Tanzania kilichokuwa kinalinda mpaka kilikuwa kinashuhudia
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29790918.wav,144,fernando torres alikuwa anacheza liverpool
/media/ks/Elements/cv-corpus-9.0-2022-04-27/sw/clips/clips_wav/common_voice_sw_29790937.wav,265,Sio kwa Yakub tu waangalie wachezaji kama kina Thaban Kamusoko na ubora wao
